disegno_id;tipologia;dimensione;colore;posizione;orientamento;accuratezza;alim;io;sport;assoc
157;+;S;R-L;C;S;NA-ND;TRUE;TRUE;FALSE;++
158;+-;N;NR-D;C;S;A-ND;TRUE;TRUE;FALSE;++
160;+-;S;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
161;+-;L;R-L;C;S;A-ND;TRUE;TRUE;FALSE;==
162;+-;S;R-L;P-LB;S;NA-ND;TRUE;TRUE;FALSE;--
163;+;S;NR-L;C;S;NA-D;TRUE;TRUE;FALSE;++
164;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
165;+-;L;NR-L;C;S;NA-ND;TRUE;TRUE;FALSE;--
166;+;S;NR-L;P-LT;S;NA-ND;TRUE;FALSE;FALSE;==
167;+-;S;R-L;C;S;NA-D;TRUE;TRUE;FALSE;--
168;+-;S;NR-L;P-LB;S;NA-ND;FALSE;TRUE;FALSE;==
169;+-;S;R-L;C;S;NA-ND;TRUE;TRUE;FALSE;n� �
170;+;S;NR-L;P-RT;U;NA-ND;TRUE;TRUE;FALSE;++
171;+;N;R-L;C;S;NA-ND;TRUE;FALSE;TRUE;==
172;+;S;R-D;C;U;NA-D;TRUE;FALSE;FALSE;==
173;+;N;NR-L;P-RB;S;NA-ND;TRUE;FALSE;FALSE;==
174;+;L;R-L;C;S;NA-D;�;�;�;==
175;+;N;NR-L;C;S;A-ND;TRUE;TRUE;FALSE;--
176;+;N;NR-L;C;S;NA-D;TRUE;FALSE;FALSE;==
177;+;L;R-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
178;+;L;R-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
179;+;L;R-L;C;U;NA-ND;TRUE;FALSE;FALSE;==
180;+;L;R-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
181;+;L;R-L;P-R;S;NA-ND;TRUE;FALSE;FALSE;==
182;-;L;NR-D;C;U;NA-ND;TRUE;FALSE;FALSE;==
183;+-;S;NR-D;C;U;NA-D;TRUE;TRUE;FALSE;++
184;+;S;NR-L;P-LT;S;NA-ND;TRUE;TRUE;FALSE;++
185;+;S;R-L;P-LT;U;NA-ND;FALSE;TRUE;FALSE;==
186;+;N;R-L;C;S;NA-D;TRUE;FALSE;FALSE;==
187;+-;S;NR-D;C;S;NA-D;TRUE;TRUE;FALSE;--
188;+;S;R-L;P-RT;S;A-ND;TRUE;FALSE;FALSE;==
189;+;L;NR-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
190;+-;N;NR-L;C;S;A-ND;TRUE;TRUE;FALSE;--
191;-;N;NR-D;C;S;NA-D;FALSE;FALSE;FALSE;==
192;+-;L;R-L;C;S;NA-D;TRUE;FALSE;FALSE;==
193;+;L;R-L;C;S;NA-D;TRUE;FALSE;FALSE;==
194;+;N;R-L;P-RT;S;NA-ND;TRUE;FALSE;FALSE;==
195;+-;S;NR-L;C;U;NA-ND;TRUE;TRUE;FALSE;--
196;+;L;NR-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
197;+-;L;R-D;C;S;NA-ND;TRUE;FALSE;FALSE;==
198;+-;S;NR-L;C;S;NA-ND;TRUE;TRUE;FALSE;--
199;+-;S;NR-L;C;S;NA-ND;TRUE;TRUE;FALSE;--
200;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
201;+;S;R-L;P-LT;S;NA-ND;TRUE;FALSE;FALSE;==
202;+-;S;R-L;C;S;NA-ND;TRUE;FALSE;FALSE;--
203;+;N;R-L;C;S;A-ND;TRUE;TRUE;FALSE;--
204;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
205;+;L;R-L;C;S;NA-D;TRUE;FALSE;FALSE;==
206;+-;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
207;+-;S;R-D;C;U;NA-ND;TRUE;TRUE;FALSE;++
208;+-;S;R-L;C;S;NA-D;TRUE;TRUE;FALSE;++
209;+;L;R-L;C;S;NA-D;TRUE;FALSE;FALSE;==
210;+;L;R-D;P-L;S;NA-ND;TRUE;FALSE;FALSE;==
211;+-;L;NR-D;P-LT;S;A-ND;FALSE;TRUE;FALSE;==
212;+-;L;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
213;+;L;R-D;C;S;A-D;TRUE;TRUE;FALSE;++
214;+-;N;NR-D;C;S;A-ND;FALSE;TRUE;FALSE;==
215;+;N;R-D;C;S;NA-ND;FALSE;FALSE;FALSE;==
216;-;S;NR-D;C;D;A-ND;FALSE;TRUE;FALSE;==
217;+;S;R-D;P-L;D;A-D;TRUE;TRUE;FALSE;++
218;+-;N;NR-D;P � RT;S;A-ND;FALSE;TRUE;FALSE;++
219;+-;L;R-D;C;S;NA-ND;TRUE;FALSE;FALSE;==
220;+;S;R-D;P-R;S;A-D;TRUE;TRUE;FALSE;++
221;+;N;R-D;C;S;NA-ND;FALSE;FALSE;FALSE;==
222;+-;L;R-D;C;S;A-ND;FALSE;TRUE;FALSE;==
223;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
224;+;N;R-D;C;S;A-ND;FALSE;TRUE;FALSE;==
225;-;N;R-L;C;S;NA-D;FALSE;FALSE;FALSE;==
226;+-;L;R-D;C;S;A-ND;�;�;�;==
227;-;N;NR-D;C;S;NA-ND;FALSE;FALSE;FALSE;==
228;+;L;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
229;+;L;R-D;C;S;A-ND;TRUE;TRUE;FALSE;++
230;+-;S;NR-D;P � LT;S;NA-ND;FALSE;TRUE;FALSE;==
231;+;S;NR-L;P-LB;S;NA-ND;FALSE;FALSE;FALSE;==
232;+;L;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
233;+-;L;NR-D;C;S;A-ND;TRUE;TRUE;FALSE;++
234;+-;N;NR-L;C;S;NA-ND;FALSE;FALSE;FALSE;==
235;+-;S;NR-L;P-R;S;A-ND;FALSE;TRUE;FALSE;==
236;+-;L;NR-D;C;S;NA-ND;FALSE;TRUE;FALSE;==
237;-;L;NR-D;C;S;NA-ND;FALSE;FALSE;FALSE;==
238;+;N;R-D;C;S;R-D;TRUE;TRUE;FALSE;++
239;+;L;R-D;C;S;A-ND;FALSE;FALSE;FALSE;==
240;+;N;R-D;C;S;NA-ND;FALSE;FALSE;FALSE;==
241;+-;L;NR-L;P-L;S;NA-ND;FALSE;FALSE;FALSE;==
242;+;L;NR-L;C;S;A-ND;FALSE;TRUE;FALSE;==
243;+;L;R-D;C;S;NA-ND;FALSE;FALSE;FALSE;==
244;+-;N;R-L;C;S;A-ND;FALSE;TRUE;FALSE;==
245;+;N;R-D;C;S;A-D;FALSE;TRUE;FALSE;==
246;+-;S;R-L;C;S;A-ND;FALSE;TRUE;FALSE;==
247;+;L;NR-L;P-R;S;A-ND;FALSE;TRUE;FALSE;==
248;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
249;+;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
250;+-;S;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
251;+;S;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
252;+-;L;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
254;+;N;R-L;C;S/D;NA-D;TRUE;TRUE;FALSE;++
255;+;N;R-L;C;S;NA-ND;TRUE;TRUE;FALSE;--
256;+;N;R-L;C;D;NA-ND;TRUE;FALSE;FALSE;==
257;+;L;R-L;C-L;U;A-ND;TRUE;FALSE;FALSE;==
258;+;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
259;+;N;NR-L;C;U;NA-ND;TRUE;TRUE;FALSE;++
260;+;L;R-L;C;S;NA-ND;TRUE;TRUE;FALSE;--
261;+;S;R-D;C;S;NA-ND;TRUE;TRUE;FALSE;--
262;+;N;NR-L;C;S;A-D;FALSE;TRUE;FALSE;==
